OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
2024-207N,STARLINK-32564,61924,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207M,STARLINK-32537,61923,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207L,STARLINK-32579,61922,US,91.81,43,364,363,LARGE,0,11/11/24,
2024-207K,STARLINK-32605,61921,US,91.81,43,365,362,LARGE,0,11/11/24,
2024-207J,STARLINK-32616,61920,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207H,STARLINK-32547,61919,US,91.81,43,364,363,LARGE,0,11/11/24,
2024-207G,STARLINK-32555,61918,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207F,STARLINK-32544,61917,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207E,STARLINK-32541,61916,US,91.81,43,364,363,LARGE,0,11/11/24,
2024-207D,STARLINK-32559,61915,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207C,STARLINK-32460,61914,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207B,STARLINK-32434,61913,US,91.81,43,364,363,LARGE,0,11/11/24,
2024-207A,STARLINK-32303,61912,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-206B,FALCON 9 R/B,61911,US,624.51,27.03,35364,285,LARGE,0,11/11/24,
2024-206A,KOREASAT-6A,61910,SKOR,1436.11,0.06,35787,35786,,0,11/11/24,
2024-205R,ZK-1A R/B,61909,PRC,92.76,97.46,519,300,LARGE,0,11/11/24,
2024-205Q,OBJECT Q,61908,PRC,95.03,97.48,530,509,MEDIUM,0,11/11/24,
2024-205P,OBJECT P,61907,PRC,95.03,97.48,530,510,MEDIUM,0,11/11/24,
2024-205N,OBJECT N,61906,PRC,95.01,97.47,529,509,MEDIUM,0,11/11/24,
2024-205M,OBJECT M,61905,PRC,95.05,97.48,531,511,LARGE,0,11/13/24,
2024-205L,OBJECT L,61904,PRC,95.01,97.47,529,510,MEDIUM,0,11/11/24,
2024-205K,OBJECT K,61903,PRC,95.03,97.47,529,511,MEDIUM,0,11/11/24,
2024-205J,OBJECT J,61902,PRC,95.02,97.48,529,510,MEDIUM,0,11/11/24,
2024-205H,OBJECT H,61901,PRC,95.04,97.47,530,511,MEDIUM,0,11/11/24,
2024-205G,OBJECT G,61900,PRC,95.02,97.47,529,510,MEDIUM,0,11/11/24,
2024-205F,OBJECT F,61899,PRC,95.02,97.47,529,511,LARGE,0,11/11/24,
2024-205E,OBJECT E,61898,PRC,95.02,97.47,529,510,MEDIUM,0,11/11/24,
2024-205D,OBJECT D,61897,PRC,95.05,97.47,531,511,LARGE,0,11/11/24,
2024-205C,OBJECT C,61896,PRC,95.03,97.47,529,511,MEDIUM,0,11/11/24,
2024-205B,OBJECT B,61895,PRC,95.05,97.47,531,511,MEDIUM,0,11/11/24,
2024-205A,OBJECT A,61894,PRC,95.03,97.47,530,510,MEDIUM,0,11/11/24,
2024-204V,STARLINK-32489,61893,US,92.95,53.16,420,418,LARGE,0,11/9/24,
2024-204U,STARLINK-32239,61892,US,92.95,53.16,420,418,LARGE,0,11/9/24,
2024-204T,STARLINK-32383,61891,US,92.95,53.16,420,418,LARGE,0,11/9/24,
2024-204S,STARLINK-32501,61890,US,92.95,53.16,420,418,LARGE,0,11/9/24,
2024-204R,STARLINK-32292,61889,US,92.95,53.16,420,418,LARGE,0,11/9/24,
2024-204Q,STARLINK-32377,61888,US,92.95,53.16,420,418,LARGE,0,11/9/24,
2024-204P,STARLINK-32410,61887,US,93.05,53.16,424,423,LARGE,0,11/9/24,
2024-204N,STARLINK-11351,61886,US,91.33,53.16,340,339,LARGE,0,11/9/24,
2024-204M,STARLINK-11301,61885,US,91.33,53.16,341,339,LARGE,0,11/9/24,
2024-204L,STARLINK-11359,61884,US,91.33,53.16,340,339,LARGE,0,11/9/24,
2024-204K,STARLINK-11383,61883,US,91.33,53.16,340,339,LARGE,0,11/9/24,
2024-204J,STARLINK-11398,61882,US,91.33,53.16,340,339,LARGE,0,11/9/24,
2024-204H,STARLINK-11329,61881,US,91.33,53.15,340,339,LARGE,0,11/9/24,
2024-204G,STARLINK-11328,61880,US,91.33,53.16,341,339,LARGE,0,11/9/24,
2024-204F,STARLINK-11324,61879,US,91.33,53.15,340,339,LARGE,0,11/9/24,
2024-204E,STARLINK-11314,61878,US,91.33,53.16,341,338,LARGE,0,11/9/24,
2024-204D,STARLINK-11321,61877,US,91.33,53.15,341,339,LARGE,0,11/9/24,
2024-204C,STARLINK-11401,61876,US,91.33,53.15,341,339,LARGE,0,11/9/24,
2024-204B,STARLINK-11316,61875,US,91.33,53.15,340,339,LARGE,0,11/9/24,
2024-204A,STARLINK-11402,61874,US,91.28,53.16,338,336,LARGE,0,11/9/24,
2024-203E,CZ-2C R/B,61873,PRC,94.88,97.38,583,442,LARGE,0,11/9/24,
2024-203D,OBJECT D,61872,PRC,95.07,97.5,534,510,LARGE,0,11/9/24,
2024-203C,OBJECT C,61871,PRC,95.08,97.49,535,510,MEDIUM,0,11/9/24,
2024-203B,OBJECT B,61870,PRC,95.09,97.49,535,511,MEDIUM,0,11/9/24,
2024-203A,OBJECT A,61869,PRC,95.1,97.49,535,511,MEDIUM,0,11/9/24,
2024-202Y,STARLINK-32569,61867,US,92.87,43,416,415,LARGE,0,11/7/24,
2024-202X,STARLINK-32588,61866,US,92.87,43,416,414,LARGE,0,11/7/24,
2024-202W,STARLINK-32401,61865,US,92.87,43,416,414,LARGE,0,11/7/24,
2024-202V,STARLINK-32318,61864,US,92.87,43,416,415,LARGE,0,11/7/24,
2024-202U,STARLINK-32324,61863,US,92.87,43,415,415,LARGE,0,11/7/24,
2024-202T,STARLINK-32393,61862,US,92.87,43,415,415,LARGE,0,11/7/24,
2024-202S,STARLINK-32415,61861,US,92.88,43,416,415,LARGE,0,11/7/24,
2024-202R,STARLINK-32316,61860,US,92.87,43,417,413,LARGE,0,11/7/24,
2024-202Q,STARLINK-32466,61859,US,93.08,43,426,425,LARGE,0,11/7/24,
2024-202P,STARLINK-32556,61858,US,93.2,43,432,430,LARGE,0,11/7/24,
2024-202N,STARLINK-32451,61857,US,92.91,43,418,416,LARGE,0,11/7/24,
2024-202M,STARLINK-32483,61856,US,93.25,43,435,433,LARGE,0,11/7/24,
2024-202L,STARLINK-32391,61855,US,93.31,43,437,436,LARGE,0,11/7/24,
2024-202K,STARLINK-32486,61854,US,93.37,43,440,439,LARGE,0,11/7/24,
2024-202J,STARLINK-32394,61853,US,93.45,43,444,442,LARGE,0,11/7/24,
2024-202H,STARLINK-32433,61852,US,93.46,43,445,443,LARGE,0,11/7/24,
2024-202G,STARLINK-32379,61851,US,93.46,43,445,443,LARGE,0,11/7/24,
2024-202F,STARLINK-32330,61850,US,93.47,43,445,443,LARGE,0,11/7/24,
2024-202E,STARLINK-32346,61849,US,93.47,43,445,443,LARGE,0,11/7/24,
2024-202D,STARLINK-32427,61848,US,93.47,43,445,443,LARGE,0,11/7/24,
2024-202C,STARLINK-32352,61847,US,93.47,43,445,443,LARGE,0,11/7/24,
2024-202B,STARLINK-32472,61846,US,93.46,43,445,443,LARGE,0,11/7/24,
2024-202A,STARLINK-32362,61845,US,93.46,43,445,443,LARGE,0,11/7/24,
2024-140ADL,CZ-6A DEB,61844,PRC,96.47,89.26,662,518,SMALL,0,8/6/24,
